NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,SUM(QTEPRD)
GOULETTE,SSP SUPER SANS PLOMB,BENI KHALLED,18-Aug,NABEUL,BENI-KHALED,80932.072,1556.386,52
SKHIRA,GASOIL,EL BATEN,18-Aug,KAIROUAN,EL BATEN,61907.612,1190.531,52
SKHIRA,GASOIL,HAMMAM LIF,18-Aug,BEN AROUS,HAMMAM-LIF,13095.841,1190.531,11
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,DJEBEL JELLOUD,18-Aug,TUNIS,JEBEL JELLOUD,29571.334,1556.386,19
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,18-Aug,BEJA,AMDOUN,6225.544,1556.386,4
GOULETTE,SSP SUPER SANS PLOMB,BALTA,18-Aug,JENDOUBA,BALTA,9338.316,1556.386,6
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,FOUSSANA,18-Aug,KASSERINE,FOUSSANA,12451.088,1556.386,8
GOULETTE,SSP SUPER SANS PLOMB,SIDGHEYNE,18-Jul,MEDENINE,HOUMT SOUK,17120.246,1556.386,11
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BIZERTE,18-Nov,BIZERTE,BIZERTE,226559.787,1606.807,141
GOULETTE,SSP SUPER SANS PLOMB,SOUASSI,18-Jul,MAHDIA,SOUASSI,15563.86,1556.386,10
GOULETTE,GASOIL,TOUZA,18-Aug,MONASTIR,MOKNINE,84527.701,1190.531,71
GOULETTE,SSP SUPER SANS PLOMB,CHEBBA,18-Jul,MAHDIA,CHEBBA,6225.544,1556.386,4
GOULETTE,GASOIL,MAJEL B. ABBES,18-Jul,KASSERINE,MAGEL BEL ABBES,9524.248,1190.531,8
SKHIRA,GASOIL 50,S.A.BOUHAJLA,18-Aug,KAIROUAN,SIDI AMOR BOUHAJLA,2873.452,1436.726,2
SKHIRA,GASOIL 50,BEN AROUS MC 34,18-Aug,BEN AROUS,BEN AROUS,38791.602,1436.726,27
SKHIRA,GASOIL,SOUSSE MED  ALI,18-Aug,SOUSSE,SOUSSE,50002.302,1190.531,42
SKHIRA,GASOIL,KAIROUAN,18-Aug,KAIROUAN,KAIROUAN,60717.081,1190.531,51
