NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,SUM(QTEPRD)
SKHIRA,SSP SUPER SANS PLOMB,MNIHLA,19-Feb,ARIANA,M'NIHLA,35316.468,1605.294,22
SKHIRA,GASOIL,BIR LAHMAR,19-Jun,TATAOUINE,BIR LAHMAR,34662.836,1333.186,26
SKHIRA,SSP SUPER SANS PLOMB,MONASTIR,19-Apr,MONASTIR,MONASTIR,101921.24,1670.84,61
GOULETTE,GAZOIL SANS SOUFRE,ENTREE SUD,19-Jun,TUNIS,KABARIA,177527.298,1557.257,114
SKHIRA,GAZOIL SANS SOUFRE,EL BDERNA,19-Sep,SFAX,EL BDARNA,57536.628,1555.044,37
ZARZIS,SSP SUPER SANS PLOMB,ZARZIS,19-Jun,MEDENINE,ZARZIS,40100.16,1670.84,24
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,TABARKA,19-Jun,JENDOUBA,TABARKA,38429.32,1670.84,23
GOULETTE,GASOIL,BIR EL KASSA,19-May,BEN AROUS,BIR EL KASSAA,423953.148,1333.186,318
SKHIRA,GAZOIL SANS SOUFRE,S. KHELIFA pk72 ,19-Jun,SOUSSE,SIDI KHLIFA,98107.191,1557.257,63
GOULETTE,APG AGILIX PREMIUM GAS.,SORTIE SUD Z4,19-Jun,TUNIS,TUNIS VILLE,18802.212,1709.292,11
GOULETTE,GAZOIL SANS SOUFRE,KAIROUAN,19-Jun,KAIROUAN,KAIROUAN,52946.738,1557.257,34
GOULETTE,GASOIL,ENNASR ARIANA,19-Jun,ARIANA,ENNASR,122653.112,1333.186,92
SKHIRA,SSP SUPER SANS PLOMB,DEGACHE,19-Jun,TOZEUR,DEGACHE,20050.08,1670.84,12
SKHIRA,GAZOIL SANS SOUFRE,KETTANA,19-Jun,GABES,KETTANA,17129.827,1557.257,11
GOULETTE,SSP SUPER SANS PLOMB,BEJA,19-May,BEJA,BEJA,66833.6,1670.84,40
GOULETTE,GASOIL,SFAX GP1,19-Feb,SFAX,SFAX,14484.91,1316.81,11
SKHIRA,GASOIL,M. HACHED,19-Jun,MAHDIA,MENZEL HACHED,49327.882,1333.186,37
SKHIRA,SSP SUPER SANS PLOMB,DEGACHE,19-Sep,TOZEUR,DEGACHE,13349.912,1668.739,8
SKHIRA,GASOIL,CHERARDA,19-Sep,KAIROUAN,CHERARDA,182343.301,1330.973,137
SKHIRA,SSP SUPER SANS PLOMB,EL GUETAR,19-May,GAFSA,EL GUETAR,83542,1670.84,50
SKHIRA,GAZOIL SANS SOUFRE,ZARZIS,19-Apr,MEDENINE,ZARZIS,68519.308,1557.257,44
SKHIRA,GASOIL,C.O. ASKAR,19-Sep,SIDI BOUZID,CABELET OUELED ASKER,77196.434,1330.973,58
SKHIRA,SSP SUPER SANS PLOMB,B.A.B KHELIFA,19-Apr,SFAX,BIR ALI BEN KHELIFA,81871.16,1670.84,49
SKHIRA,SSP SUPER SANS PLOMB,OUEDHREF,19-Apr,GABES,OUEDHREF,75187.8,1670.84,45
SKHIRA,GAZOIL SANS SOUFRE,EL HAMMA,19-Sep,GABES,EL HAMMA,60646.716,1555.044,39
SKHIRA,GASOIL,DOUZ*,19-Apr,KEBILI,DOUZ,34662.836,1333.186,26
SKHIRA,GAZOIL SANS SOUFRE,MEDNINE,19-Sep,MEDENINE,MEDENINE,41986.188,1555.044,27
SKHIRA,GAZOIL SANS SOUFRE,KETTANA,19-May,GABES,KETTANA,12458.056,1557.257,8
GOULETTE,APS AGILIX PREMIUM ESS.,S. KHELIFA pk72 ,19-Feb,SOUSSE,SIDI KHLIFA,5248.992,1749.664,3
SKHIRA,GAZOIL SANS SOUFRE,GAFSA,19-Apr,GAFSA,GAFSA,146382.158,1557.257,94
SKHIRA,GASOIL,Rte SIDI MANSOUR,19-Apr,SFAX,SFAX,78657.974,1333.186,59
GOULETTE,GASOIL,HAFFOUZ,19-Jun,KAIROUAN,HAFFOUZ,194645.156,1333.186,146
SKHIRA,APG AGILIX PREMIUM GAS.,EL JEM PK192,19-May,MAHDIA,EL JEM,10255.752,1709.292,6
SKHIRA,GAZOIL SANS SOUFRE,KASSERINE,19-Sep,KASSERINE,KASSERINE,80862.288,1555.044,52
SKHIRA,GASOIL,M. EL HABIB,19-Sep,GABES,MENZEL EL HABIB,78527.407,1330.973,59
GOULETTE,SSP SUPER SANS PLOMB,CITE OLYMPIQUE,19-Apr,TUNIS,CITE ELKHADRA,1112779.44,1670.84,666
SKHIRA,SSP SUPER SANS PLOMB,SFAX GP1,19-May,SFAX,SFAX,146793.36,1747.54,84
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,ZARZOUNA,19-Oct,BIZERTE,ZARZOUNA,68421.936,1555.044,44
GOULETTE,SSP SUPER SANS PLOMB,M. SALEM,19-Oct,NABEUL,EL HAOUARIA,120149.208,1668.739,72
GOULETTE,GASOIL,KERKER,19-Oct,MAHDIA,KERKER,167702.598,1330.973,126
SKHIRA,SSP SUPER SANS PLOMB,PORT DE SFAX,19-Apr,SFAX,SFAX,118629.64,1670.84,71
SKHIRA,GASOIL,SIDI AICH,19-Sep,GAFSA,SIDI IICH,45253.082,1330.973,34
SKHIRA,SSP SUPER SANS PLOMB,EL JEM PK192,19-Sep,MAHDIA,EL JEM,188567.507,1668.739,113
SKHIRA,GAZOIL SANS SOUFRE,EL FAOUR,19-Apr,KEBILI,ELFAOUAR,20244.341,1557.257,13
ZARZIS,SSP SUPER SANS PLOMB,BIR LAHMAR,19-Oct,TATAOUINE,BIR LAHMAR,50062.17,1668.739,30
GOULETTE,GASOIL,AV. HEDI SAIDI,19-Apr,TUNIS,TUNIS VILLE,77324.788,1333.186,58
GOULETTE,SSP SUPER SANS PLOMB,AV. HEDI SAIDI,19-Apr,TUNIS,TUNIS VILLE,247284.32,1670.84,148
GOULETTE,GASOIL,M. TEMIME,19-Oct,NABEUL,MENZEL TEMIME,419256.495,1330.973,315
GOULETTE,GAZOIL SANS SOUFRE,KAIROUAN,19-Oct,KAIROUAN,KAIROUAN,74642.112,1555.044,48
SKHIRA,GASOIL,JORF JERBA,19-Apr,MEDENINE,JORF,93323.02,1333.186,70
SKHIRA,SSP SUPER SANS PLOMB,SLOUGUIA,19-Sep,BEJA,SLOUGUIA,11681.173,1668.739,7
SKHIRA,SSP SUPER SANS PLOMB,HASSI AMOR,19-Sep,MEDENINE,HASSI AMOR,20024.868,1668.739,12
GOULETTE,GASOIL,M. HACHED,19-Jun,MAHDIA,MENZEL HACHED,13331.86,1333.186,10
SKHIRA,GASOIL,EL GUETAR,19-Dec,GAFSA,EL GUETAR,188998.166,1330.973,142
GERANT POIT DE VENTE,GASOIL,SIDI BOUSAID,19-Dec,TUNIS,SIDI BOUSAID,-1360.973,1360.973,-1
SKHIRA,SSP SUPER SANS PLOMB,SOUSSE MED  ALI,19-Apr,SOUSSE,SOUSSE,10025.04,1670.84,6
GOULETTE,SSP SUPER SANS PLOMB,KANTAOUI,19-Apr,SOUSSE,HAMMAM SOUSSE,335838.84,1670.84,201
BIZERTE CARBURANT,GASOIL,RAS INGELA,19-Oct,BIZERTE,BIZERTE,42591.136,1330.973,32
SKHIRA,SSP SUPER SANS PLOMB,MEKNASSY,19-May,SIDI BOUZID,MEKNASSY,80200.32,1670.84,48
SKHIRA,GASOIL,EL HAMMA,19-May,GABES,EL HAMMA,127985.856,1333.186,96
SKHIRA,GAZOIL SANS SOUFRE,EL BDERNA,19-May,SFAX,EL BDARNA,68519.308,1557.257,44
SKHIRA,SSP SUPER SANS PLOMB,NASRALLAH,19-Apr,KAIROUAN,SIDI ALI BEN NASRALL,15037.56,1670.84,9
GOULETTE,GAZOIL SANS SOUFRE,AV DE CARTHAGE,19-Oct,TUNIS,TUNIS VILLE,76197.156,1555.044,49
SKHIRA,GASOIL,BIR MCHERGA,19-May,ZAGHOUAN,BIR MCHERGUA,27996.906,1333.186,21
SKHIRA,GASOIL,HAZOUA,19-Apr,TOZEUR,HASOUA,37329.208,1333.186,28
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,KHETMINE,19-Oct,BIZERTE,KHETMINE,63412.082,1668.739,38
BIZERTE CARBURANT,GASOIL,M. BOURGUIBA,19-Oct,BIZERTE,MENZEL BOURGUIBA,71245.623,1396.973,51
SKHIRA,SSP SUPER SANS PLOMB,MAHRES,19-May,SFAX,MAHRES,148704.76,1670.84,89
SKHIRA,GAZOIL SANS SOUFRE,MAHRES,19-May,SFAX,MAHRES,56061.252,1557.257,36
SKHIRA,SSP SUPER SANS PLOMB,SIDGHEYNE,19-Sep,MEDENINE,HOUMT SOUK,66749.56,1668.739,40
GOULETTE,GASOIL,EL MRAZKA,19-Oct,NABEUL,HAMMAMET,143745.084,1330.973,108
SKHIRA,GASOIL,GAAFOUR,19-May,SILIANA,GAAFOUR,13331.86,1333.186,10
SKHIRA,GASOIL,MAJEL B. ABBES,19-May,KASSERINE,MAGEL BEL ABBES,121319.926,1333.186,91
SKHIRA,SSP SUPER SANS PLOMB,TOZEUR VILLE,19-May,TOZEUR,TOZEUR,118629.64,1670.84,71
SKHIRA,SSP SUPER SANS PLOMB,GAFSA,19-May,GAFSA,GAFSA,260651.04,1670.84,156
SKHIRA,GASOIL,GABES GP1,19-May,GABES,GABES,139984.53,1333.186,105
GOULETTE,GASOIL,HAMMAM LIF,19-Apr,BEN AROUS,HAMMAM-LIF,135984.972,1333.186,102
SKHIRA,GAZOIL SANS SOUFRE,MARETH,19-May,GABES,MARETH,49832.224,1557.257,32
SKHIRA,GASOIL,CITE EL HABIB - SFAX GPL,19-Dec,SFAX,SFAX,202307.896,1330.973,152
SKHIRA,SSP SUPER SANS PLOMB,CITE EL HABIB - SFAX GPL,19-Dec,SFAX,SFAX,133499.12,1668.739,80
SKHIRA,GASOIL,BIR EL KASSA,19-May,BEN AROUS,BIR EL KASSAA,22664.162,1333.186,17
SKHIRA,GAZOIL SANS SOUFRE,M.BOUZAIENE,19-May,SIDI BOUZID,MENZEL BOUZAIENE,15572.57,1557.257,10
SKHIRA,GASOIL,HASSI AMOR,19-Dec,MEDENINE,HASSI AMOR,115794.651,1330.973,87
SKHIRA,APS AGILIX PREMIUM ESS.,GABES GP1,19-May,GABES,GABES,12765.291,1823.613,7
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ,19-Oct,BEN AROUS,BIR EL KASSAA,468915.659,1668.739,281
SKHIRA,SSP SUPER SANS PLOMB,HASSI AMOR,19-May,MEDENINE,HASSI AMOR,21720.92,1670.84,13
GOULETTE,GAZOIL SANS SOUFRE,EL JEM,19-Oct,MAHDIA,EL JEM,15550.44,1555.044,10
SKHIRA,GAZOIL SANS SOUFRE,GABES VILLE,19-Jun,GABES,GABES,15572.57,1557.257,10
GOULETTE,GASOIL,NASRALLAH,19-Jun,KAIROUAN,SIDI ALI BEN NASRALL,26663.72,1333.186,20
SKHIRA,SSP SUPER SANS PLOMB,M. HACHED,19-May,MAHDIA,MENZEL HACHED,28404.28,1670.84,17
SKHIRA,GAZOIL SANS SOUFRE,OULED HAFFOUZ,19-May,SIDI BOUZID,OULED HAFFOUZ,12458.056,1557.257,8
GOULETTE,SSP SUPER SANS PLOMB,DAHMANI,19-Jun,LE KEF,DAHMANI,25062.6,1670.84,15
SKHIRA,GAZOIL SANS SOUFRE,EL FAHS,19-May,ZAGHOUAN,EL FAHS,4671.771,1557.257,3
SKHIRA,GAZOIL SANS SOUFRE,TOUZA,19-Jun,MONASTIR,TOUZA,4671.771,1557.257,3
SKHIRA,SSP SUPER SANS PLOMB,SIDGHEYNE,19-Jun,MEDENINE,HOUMT SOUK,41771,1670.84,25
GOULETTE,GASOIL 50,BORJ CEDRIA,19-Apr,BEN AROUS,BORJ CEDRIA,62290.28,1557.257,40
SKHIRA,GAZOIL SANS SOUFRE,SBEITLA,19-May,KASSERINE,SBEITLA,17129.827,1557.257,11
SKHIRA,GAZOIL SANS SOUFRE,LE KEF,19-Jun,LE KEF,LE KEF,28030.626,1557.257,18
GOULETTE,SSP SUPER SANS PLOMB,SIDI EL HENI,19-Apr,SOUSSE,SIDI EL HENI,68504.44,1670.84,41
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,RAS DJEBEL,19-May,BIZERTE,RAS DJEBEL,76305.593,1557.257,49
GOULETTE,GASOIL,GRIAAT N. PK29,19-Mar,BEJA,MEDJEZ EL BAB,123020.38,1255.31,98
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOUARGOUB,19-May,NABEUL,BOUARGOUB,5012.52,1670.84,3
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,S. LAHED .S,19-Apr,SOUSSE,SOUSSE,65404.794,1557.257,42
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,MONASTIR,19-Apr,MONASTIR,MONASTIR,46717.71,1557.257,30
GOULETTE,SSP SUPER SANS PLOMB,TOUZA,19-Apr,MONASTIR,MOKNINE,5012.52,1670.84,3
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,S. LAHED .S,19-Apr,SOUSSE,SOUSSE,6837.168,1709.292,4
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BIR EL KASSA,19-Apr,BEN AROUS,BIR EL KASSAA,6229.028,1557.257,4
SKHIRA,GASOIL,SAHLOUL,19-May,SOUSSE,SOUSSE,6665.93,1333.186,5
SKHIRA,GASOIL,EL BATEN,19-Mar,KAIROUAN,EL BATEN,53978.33,1255.31,43
BIZERTE CARBURANT,GASOIL,TABARKA,19-Apr,JENDOUBA,TABARKA,86657.09,1333.186,65
SKHIRA,SSP SUPER SANS PLOMB,KSAR HELAL,19-Mar,MONASTIR,KSAR HELLAL,81869.994,1605.294,51
SKHIRA,SSP SUPER SANS PLOMB,EL GUETAR,19-Mar,GAFSA,EL GUETAR,78659.406,1605.294,49
SKHIRA,GASOIL,OUESLATIA,19-Mar,KAIROUAN,OUESLATIA,46446.47,1255.31,37
GOULETTE,GASOIL,SORTIE SUD Z4,19-Mar,TUNIS,TUNIS VILLE,308806.26,1255.31,246
BIZERTE CARBURANT,GASOIL,EL AOUINA,19-May,TUNIS,EL AOUINA,37329.208,1333.186,28
SKHIRA,SSP SUPER SANS PLOMB,BEJA,19-Mar,BEJA,BEJA,8026.47,1605.294,5
SKHIRA,SSP SUPER SANS PLOMB,TEBOULBOU,19-Mar,GABES,TEBOULBOU,211898.808,1605.294,132
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,AV DE CARTHAGE,19-Mar,TUNIS,TUNIS VILLE,53576.28,1488.23,36
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,NABEUL,19-Apr,NABEUL,NABEUL,6837.168,1709.292,4
BIZERTE CARBURANT,GASOIL,BORJ CEDRIA,19-May,BEN AROUS,BORJ CEDRIA,22664.162,1333.186,17
ZARZIS,GAZOIL SANS SOUFRE,HOUMT SOUK,19-Mar,MEDENINE,HOUMT SOUK,46135.13,1488.23,31
SKHIRA,GASOIL,BERGES DU LAC,19-Mar,TUNIS,TUNIS VILLE,21340.27,1255.31,17
GOULETTE,SSP SUPER SANS PLOMB,M.DAR BEL OUER,19-Mar,SOUSSE,MENZEL DAR BEL OUAER,30500.586,1605.294,19
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,EL MOUROUJ,19-Mar,BEN AROUS,BIR EL KASSAA,114593.71,1488.23,77
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BOUARADA,19-Mar,SILIANA,BOUARADA,5952.92,1488.23,4
BIZERTE CARBURANT,GASOIL,EZZOUHOUR,19-May,TUNIS,EZZOUHOUR,57326.998,1333.186,43
BIZERTE CARBURANT,GASOIL,GAAFOUR,19-Apr,SILIANA,GAAFOUR,21330.976,1333.186,16
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,KSAR HELAL,19-Mar,MONASTIR,KSAR HELLAL,59529.2,1488.23,40
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BEJA,19-Mar,BEJA,BEJA,34229.29,1488.23,23
SKHIRA,GASOIL,KEBILI,19-Mar,KEBILI,KEBILI,138084.1,1255.31,110
SKHIRA,GAZOIL SANS SOUFRE,KEBILI,19-Mar,KEBILI,KEBILI,68458.58,1488.23,46
SKHIRA,GASOIL,NASRALLAH,19-Mar,KAIROUAN,SIDI ALI BEN NASRALL,69042.05,1255.31,55
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BEMBLA,19-Apr,MONASTIR,BEMBLA,23358.855,1557.257,15
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,ARIANA,19-Apr,ARIANA,ARIANA,4671.771,1557.257,3
SKHIRA,SSP SUPER SANS PLOMB,BARGOU,19-Mar,SILIANA,BARGOU,6421.176,1605.294,4
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BEJA,19-May,BEJA,BEJA,16708.4,1670.84,10
SKHIRA,SSP SUPER SANS PLOMB,JEMMAL,19-Mar,MONASTIR,JAMMEL,27289.998,1605.294,17
SKHIRA,GAZOIL SANS SOUFRE,PORT DE SFAX,19-Mar,SFAX,SFAX,47623.36,1488.23,32
BIZERTE CARBURANT,APS AGILIX PREMIUM ESS.,BIZERTE,19-May,BIZERTE,BIZERTE,7294.452,1823.613,4
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,MAAMOURA,19-May,NABEUL,MAAMOURA,10025.04,1670.84,6
SKHIRA,SSP SUPER SANS PLOMB,TOZEUR VILLE,19-Mar,TOZEUR,TOZEUR,158924.106,1605.294,99
SKHIRA,GASOIL,GABES GP1,19-Mar,GABES,GABES,161934.99,1255.31,129
SKHIRA,GASOIL,AZMOUR,19-Mar,NABEUL,AZMOUR,25106.2,1255.31,20
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,M.DAR BEL OUER,19-Mar,SOUSSE,MENZEL DAR BEL OUAER,10417.61,1488.23,7
GOULETTE,GASOIL,DJEBEL JELLOUD,19-Mar,TUNIS,JEBEL JELLOUD,131807.55,1255.31,105
GOULETTE,GASOIL,GUEBELLAT,19-Mar,BEJA,GOUBELLAT,125531,1255.31,100
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,C.B.Ammar,19-Mar,ARIANA,CEBALET B AMMAR,90782.03,1488.23,61
SKHIRA,GASOIL,SKHIRA,19-Mar,SFAX,SKHIRA,124275.69,1255.31,99
SKHIRA,GAZOIL SANS SOUFRE,EL HAMMA,19-Mar,GABES,EL HAMMA,61017.43,1488.23,41
GOULETTE,GASOIL,BIR MCHERGA,19-Mar,ZAGHOUAN,BIR MCHERGUA,248551.38,1255.31,198
SKHIRA,SSP SUPER SANS PLOMB,BEN AROUS MC 34,19-Mar,BEN AROUS,BEN AROUS,78659.406,1605.294,49
SKHIRA,GASOIL,H.ZRIBA,19-Mar,ZAGHOUAN,HAMMAM ZRIBA,119064.45,1253.31,95
SKHIRA,SSP SUPER SANS PLOMB,BOUARADA,19-Mar,SILIANA,BOUARADA,12842.352,1605.294,8
SKHIRA,GASOIL,C.B.Ammar,19-Mar,ARIANA,CEBALET B AMMAR,67786.74,1255.31,54
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GOULETTE,19-May,TUNIS,LA GOULETTE,3341.68,1670.84,2
ZARZIS,GAZOIL SANS SOUFRE,NVLE TATAOUINE,19-Mar,TATAOUINE,TATAOUINE,40182.21,1488.23,27
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,RAS DJEBEL,19-Mar,BIZERTE,RAS DJEBEL,58040.97,1488.23,39
SKHIRA,GASOIL,MSAKEN,19-Mar,SOUSSE,M'SAKEN,52723.02,1255.31,42
GOULETTE,SSP SUPER SANS PLOMB,SIDI BOUALI,19-Mar,SOUSSE,SIDI BOU ALI,32105.88,1605.294,20
SKHIRA,GASOIL,GUEBELLAT,19-Mar,BEJA,GOUBELLAT,27616.82,1255.31,22
SKHIRA,SSP SUPER SANS PLOMB,GUEBELLAT,19-Mar,BEJA,GOUBELLAT,4815.882,1605.294,3
GOULETTE,SSP SUPER SANS PLOMB,ZAGHOUAN,19-Mar,ZAGHOUAN,ZAGHOUAN,105949.404,1605.294,66
SKHIRA,GASOIL,CITE EL MOEZ  SFAX,19-Mar,SFAX,SFAX,174488.09,1255.31,139
GOULETTE,SSP SUPER SANS PLOMB,SOUSSE REPUB,19-Mar,SOUSSE,SOUSSE,80264.7,1605.294,50
SKHIRA,GASOIL,TOZEUR ,19-Mar,TOZEUR,TOZEUR,131807.55,1255.31,105
GOULETTE,GASOIL,OUERDANINE,19-Mar,MONASTIR,EL OUERDANINE,55233.64,1255.31,44
SKHIRA,GASOIL,SFAX TENIOUR,19-Mar,SFAX,SFAX,112977.9,1255.31,90
GOULETTE,GASOIL,EL ALA,19-Mar,KAIROUAN,EL ALA,110467.28,1255.31,88
GOULETTE,SSP SUPER SANS PLOMB,MNIHLA,19-Mar,ARIANA,M'NIHLA,125212.932,1605.294,78
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,19-Mar,TUNIS,EZZOUHOUR,146081.754,1605.294,91
BIZERTE CARBURANT,APS AGILIX PREMIUM ESS.,ZARZOUNA,19-May,BIZERTE,ZARZOUNA,3647.226,1823.613,2
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,OUCHTATA,19-Mar,BEJA,OUECHTATA,40132.35,1605.294,25
SKHIRA,SSP SUPER SANS PLOMB,GABES VILLE,19-Mar,GABES,GABES,43342.938,1605.294,27
SKHIRA,SSP SUPER SANS PLOMB,AV.BOUGATFA,19-Mar,TUNIS,LE BARDO,94712.346,1605.294,59
GOULETTE,GASOIL,ROUHIA,19-Mar,SILIANA,ROUHIA,10042.48,1255.31,8
GOULETTE,GASOIL,SOLIMAN,19-May,NABEUL,SOLIMAN,15998.232,1333.186,12
GOULETTE,GASOIL 50,HAMMAM SOUSSE,19-May,SOUSSE,HAMMAM SOUSSE,102778.962,1557.257,66
GOULETTE,GASOIL 50,ENNADHOUR,19-May,ZAGHOUAN,NADOUR,15572.57,1557.257,10
GOULETTE,GASOIL 50,Rte de RAOUED,19-May,ARIANA,ARIANA,57618.509,1557.257,37
GOULETTE,GASOIL 50,DAHMANI,19-May,LE KEF,DAHMANI,18687.084,1557.257,12
GOULETTE,GASOIL,EL BATEN,19-May,KAIROUAN,EL BATEN,177313.738,1333.186,133
ZARZIS,GASOIL 50,BEN GUERDANE,19-May,MEDENINE,BEN GUERDENE,18687.084,1557.257,12
ZARZIS,GASOIL 50,HASSI AMOR,19-May,MEDENINE,HASSI AMOR,3114.514,1557.257,2
GOULETTE,APG AGILIX PREMIUM GAS.,SORTIE SUD Z4,19-May,TUNIS,TUNIS VILLE,32476.548,1709.292,19
GOULETTE,APS AGILIX PREMIUM ESS.,GRIAAT S. PK29,19-May,BEJA,MEDJEZ EL BAB,3647.226,1823.613,2
SKHIRA,GAZOIL SANS SOUFRE,OULED HAFFOUZ,19-Sep,SIDI BOUZID,OULED HAFFOUZ,20215.572,1555.044,13
GOULETTE,GAZOIL SANS SOUFRE,BEJA,19-Sep,BEJA,BEJA,40431.144,1555.044,26
GOULETTE,SSP SUPER SANS PLOMB,BEJA,19-Sep,BEJA,BEJA,86774.428,1668.739,52
GOULETTE,SSP SUPER SANS PLOMB,GAMMARTH,19-Sep,TUNIS,GAMMARTH,450559.53,1668.739,270
ZARZIS,GAZOIL SANS SOUFRE,HOUMT SOUK,19-Sep,MEDENINE,HOUMT SOUK,29545.836,1555.044,19
ZARZIS,SSP SUPER SANS PLOMB,EL KANTRA,19-Sep,MEDENINE,ZARZIS,88443.167,1668.739,53
GOULETTE,SSP SUPER SANS PLOMB,HAMMAM LIF,19-Mar,BEN AROUS,HAMMAM-LIF,52974.702,1605.294,33
GOULETTE,GASOIL,KANTAOUI,19-Sep,SOUSSE,HAMMAM SOUSSE,101153.948,1330.973,76
GOULETTE,APS AGILIX PREMIUM ESS.,SOUSSE MED  ALI,19-May,SOUSSE,SOUSSE,16412.517,1823.613,9
GOULETTE,GASOIL,M. TEMIME,19-Sep,NABEUL,MENZEL TEMIME,428573.306,1330.973,322
GOULETTE,SSP SUPER SANS PLOMB,BORJ CEDRIA,19-Mar,BEN AROUS,BORJ CEDRIA,102738.816,1605.294,64
SKHIRA,GAZOIL SANS SOUFRE,HASSI AMOR,19-Aug,MEDENINE,HASSI AMOR,90192.552,1555.044,58
GOULETTE,GAZOIL SANS SOUFRE,BERGES DU LAC,19-Sep,TUNIS,TUNIS VILLE,317228.976,1555.044,204
SKHIRA,GAZOIL SANS SOUFRE,MEKNASSY,19-Aug,SIDI BOUZID,MEKNASSY,48206.364,1555.044,31
GOULETTE,GAZOIL SANS SOUFRE,EZZOUHOUR,19-Sep,TUNIS,EZZOUHOUR,113518.212,1555.044,73
GOULETTE,SSP SUPER SANS PLOMB,BIR EL KASSA,19-Sep,BEN AROUS,BIR EL KASSAA,283685.63,1668.739,170
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,RAF RAF,19-Sep,BIZERTE,RAF RAF,43541.232,1555.044,28
GOULETTE,GASOIL,MORNAG,19-Sep,BEN AROUS,MORNAG,385982.17,1330.973,290
GOULETTE,GASOIL,EL ALA,19-Sep,KAIROUAN,EL ALA,177019.409,1330.973,133
GOULETTE,GAZOIL SANS SOUFRE,MONASTIR,19-Sep,MONASTIR,MONASTIR,127513.608,1555.044,82
GOULETTE,SSP SUPER SANS PLOMB,AV MOHAMED 5,19-Sep,TUNIS,TUNIS VILLE,220273.548,1668.739,132
GOULETTE,GAZOIL SANS SOUFRE,AV MOHAMED 5,19-Sep,TUNIS,TUNIS VILLE,49761.408,1555.044,32
GOULETTE,GAZOIL SANS SOUFRE,KORBA,19-Sep,NABEUL,KORBA,113518.212,1555.044,73
GOULETTE,SSP SUPER SANS PLOMB,GRIAAT N. PK29,19-Sep,BEJA,MEDJEZ EL BAB,188567.507,1668.739,113
GOULETTE,GASOIL,BIR EL KASSA,19-Aug,BEN AROUS,BIR EL KASSAA,397960.927,1330.973,299
BIZERTE CARBURANT,GASOIL,BEN AROUS MC 34,19-Jun,BEN AROUS,BEN AROUS,6665.93,1333.186,5
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,RAS INGELA,19-Aug,BIZERTE,BIZERTE,21770.616,1555.044,14
SKHIRA,GASOIL,REGUEB,19-Aug,SIDI BOUZID,ERREGUEB,99822.975,1330.973,75
SKHIRA,GAZOIL SANS SOUFRE,CHERARDA,19-Aug,KAIROUAN,CHERARDA,48206.364,1555.044,31
SKHIRA,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,19-Aug,SOUSSE,HAMMAM SOUSSE,160198.944,1668.739,96
SKHIRA,GASOIL,M.BOUZAIENE,19-Aug,SIDI BOUZID,MENZEL BOUZAIENE,37267.244,1330.973,28
GOULETTE,GAZOIL SANS SOUFRE,GAMMARTH,19-Aug,TUNIS,GAMMARTH,172609.884,1555.044,111
GOULETTE,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-Aug,TUNIS,SIDI BOUSAID,77752.2,1555.044,50
GOULETTE,SSP SUPER SANS PLOMB,MEDJEZ EL BAB,19-Aug,BEJA,MEDJEZ EL BAB,158530.205,1668.739,95
GOULETTE,GAZOIL SANS SOUFRE,OUERDANINE,19-Jun,MONASTIR,EL OUERDANINE,10900.799,1557.257,7
GOULETTE,GASOIL,M. HAYET PK156,19-Aug,MONASTIR,MENZEL EL HAYET,275511.411,1330.973,207
BIZERTE CARBURANT,GASOIL,TOZOGHRANE,19-Jun,NABEUL,TOZGRANE,29330.092,1333.186,22
SKHIRA,SSP SUPER SANS PLOMB,ENNADHOUR,19-Jun,ZAGHOUAN,NADOUR,6683.36,1670.84,4
SKHIRA,GASOIL,OUERDANINE,19-Jun,MONASTIR,EL OUERDANINE,9332.302,1333.186,7
