,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
2987,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-05-01,BEJA,AMDOUN,32600.611,1124.159,136.0,74.0,22.0,114.0,10.0,29.0
1958,GOULETTE,GASOIL,AMDOUN,2018-06-01,BEJA,AMDOUN,199585.986,1147.0458965517241,29.0,136.0,74.0,22.0,114.0,174.0
4784,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-06-01,BEJA,AMDOUN,31476.452,1124.159,174.0,29.0,136.0,74.0,22.0,28.0
3141,GOULETTE,GASOIL,AMDOUN,2018-07-01,BEJA,AMDOUN,226200.89,1190.5310000000002,28.0,174.0,29.0,136.0,74.0,190.0
5930,GOULETTE,GASOIL,AMDOUN,2018-08-01,BEJA,AMDOUN,167864.871,1190.5310000000002,190.0,28.0,174.0,29.0,136.0,141.0
15520,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-08-01,BEJA,AMDOUN,7143.186,1190.531,141.0,190.0,28.0,174.0,29.0,6.0
7437,GOULETTE,GASOIL,AMDOUN,2018-09-01,BEJA,AMDOUN,167628.538,1250.9592388059702,6.0,141.0,190.0,28.0,174.0,134.0
6176,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-09-01,BEJA,AMDOUN,27651.866,1256.903,134.0,6.0,141.0,190.0,28.0,22.0
21113,SKHIRA,GASOIL,AMDOUN,2018-10-01,BEJA,AMDOUN,8798.321,1256.903,22.0,134.0,6.0,141.0,190.0,7.0
17002,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-10-01,BEJA,AMDOUN,50276.12,1256.903,7.0,22.0,134.0,6.0,141.0,40.0
3404,GOULETTE,GASOIL,AMDOUN,2018-10-01,BEJA,AMDOUN,188535.45,1256.903,40.0,7.0,22.0,134.0,6.0,150.0
18444,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-11-01,BEJA,AMDOUN,23881.157,1256.903,150.0,40.0,7.0,22.0,134.0,19.0
734,GOULETTE,GASOIL,AMDOUN,2018-11-01,BEJA,AMDOUN,158369.778,1256.903,19.0,150.0,40.0,7.0,22.0,126.0
741,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-12-01,BEJA,AMDOUN,16339.739,1256.903,126.0,19.0,150.0,40.0,7.0,13.0
20687,GOULETTE,GASOIL,AMDOUN,2018-12-01,BEJA,AMDOUN,155787.473,1256.3505887096774,13.0,126.0,19.0,150.0,40.0,124.0
14064,GOULETTE,GASOIL,AMDOUN,2019-01-01,BEJA,AMDOUN,86616.39,1255.31,124.0,13.0,126.0,19.0,150.0,69.0
18522,BIZERTE CARBURANT,GASOIL,AMDOUN,2019-01-01,BEJA,AMDOUN,16319.03,1255.31,69.0,124.0,13.0,126.0,19.0,13.0
18557,GOULETTE,GASOIL,AMDOUN,2019-02-01,BEJA,AMDOUN,121765.07,1255.3100000000002,13.0,69.0,124.0,13.0,126.0,97.0
21465,GOULETTE,GASOIL,AMDOUN,2019-03-01,BEJA,AMDOUN,77829.22,1255.31,97.0,13.0,69.0,124.0,13.0,62.0
8051,SKHIRA,GASOIL,AMDOUN,2019-03-01,BEJA,AMDOUN,15063.72,1255.31,62.0,97.0,13.0,69.0,124.0,12.0
17894,GOULETTE,GASOIL,AMDOUN,2019-04-01,BEJA,AMDOUN,141317.716,1333.186,12.0,62.0,97.0,13.0,69.0,106.0
16042,BIZERTE CARBURANT,GASOIL,AMDOUN,2019-05-01,BEJA,AMDOUN,18664.604,1333.186,106.0,12.0,62.0,97.0,13.0,14.0
21272,GOULETTE,GASOIL,AMDOUN,2019-05-01,BEJA,AMDOUN,93323.02,1333.1860000000001,14.0,106.0,12.0,62.0,97.0,70.0
9152,GOULETTE,GASOIL,AMDOUN,2019-06-01,BEJA,AMDOUN,190645.598,1333.186,70.0,14.0,106.0,12.0,62.0,143.0
18865,GOULETTE,GASOIL,AMDOUN,2019-07-01,BEJA,AMDOUN,261100.86,1332.1472448979591,143.0,70.0,14.0,106.0,12.0,196.0
21614,GOULETTE,GASOIL,AMDOUN,2019-08-01,BEJA,AMDOUN,141083.138,1330.973,196.0,143.0,70.0,14.0,106.0,106.0
18915,BIZERTE CARBURANT,GASOIL,AMDOUN,2019-08-01,BEJA,AMDOUN,34605.298,1330.9730000000002,106.0,196.0,143.0,70.0,14.0,26.0
5322,GOULETTE,GASOIL,AMDOUN,2019-09-01,BEJA,AMDOUN,202307.896,1330.973,26.0,106.0,196.0,143.0,70.0,152.0
12147,GOULETTE,GASOIL,AMDOUN,2019-10-01,BEJA,AMDOUN,200976.923,1330.973,152.0,26.0,106.0,196.0,143.0,151.0
17612,GOULETTE,GASOIL,AMDOUN,2019-11-01,BEJA,AMDOUN,198314.977,1330.9730000000002,151.0,152.0,26.0,106.0,196.0,149.0
17675,GOULETTE,GASOIL,AMDOUN,2019-12-01,BEJA,AMDOUN,185005.247,1330.973,149.0,151.0,152.0,26.0,106.0,139.0
15093,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-01-01,BEJA,AMDOUN,3978.318,1326.106,0.0,0.0,0.0,0.0,0.0,3.0
8360,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-02-01,BEJA,AMDOUN,5304.424,1326.106,3.0,0.0,0.0,0.0,0.0,4.0
11086,SKHIRA,GASOIL 50,AMDOUN,2018-02-01,BEJA,AMDOUN,5304.424,1326.106,4.0,3.0,0.0,0.0,0.0,4.0
12502,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-03-01,BEJA,AMDOUN,10608.848,1326.106,4.0,4.0,3.0,0.0,0.0,8.0
