,CODGVR,CODLOC,LIBLOC,key
7004,14,32,MESSADINE,32_14
7061,7,28,OUED ZERGA,28_7
7103,18,70,KAF EDDOUR,70_18
7473,16,14,SALAKTA,14_16
7738,23,96,KSAR GHILANE,96_23
7772,2,75,DOUAR HICHER,75_2
7989,23,88,DJEBEL GROUZ,88_23
8003,1,56,MUTUELLE VILLE,56_1
8194,17,78,EL KRATEN KERKENNAH,78_17
8199,15,26,CHRAHIL,26_15
8351,24,4,CHEOUIGUI,4_24
8497,18,75,LAKTAB,75_18
8675,5,33,SAOUAF,33_5
8715,13,24,LESSOUDA,24_13
8926,24,11,SIDI ALI HATTAB,11_24
9249,9,89,NEBEUR,89_9
9264,8,74,HAMMAM BOURGUIBA,74_8
9679,18,52,ZANNOUCHE,52_18
9680,4,41,DAR CHAABEN EL FEHRI,41_4
9698,17,79,RTE DE SALTANIA,79_17
10269,1,49,DUBOSVILLE,49_1
11081,6,77,ACADEMIE NATIONALE,77_6
11204,2,11,FEJJA,11_2
11381,16,50,SOUK HBIRA,50_16
12149,9,88,ZAAFRAN,88_9
12335,4,8,HAMMAM EL GHAZEZ,8_4
12446,1,67,SALAMBO,67_1
12754,1,21,A definir,21_1
12976,17,22,BICHKA,22_17
13652,17,36,SAKIET EZZIT,36_17
15003,17,72,MAJEL DRAJ,72_17
15197,12,73,KHAMMOUDA,73_12
15253,11,56,EL HOUAREB,56_11
15299,6,79,D.M.A MENZ.BOURGUIBA,79_6
15733,21,28,CHENINI GABES,28_21
16250,17,81,ENNAOURA,81_17
16377,24,1,MANNOUBA,1_24
16785,6,56,EL AZIB,56_6
16922,4,46,KORBOUS,46_4
17535,13,27,ETTAOUILA,27_13
18412,7,42,DOUGGA,42_7
18756,13,28,BIR EL HFAY,28_13
18860,2,1,CHAOUAT,1_2
19100,17,86,NAKTA,86_17
19192,20,60,REGIME MATOUG,60_20
19283,23,90,ADAM 18M3,90_23
20322,15,7,KHENIS,7_15
20781,9,44,BAHRA,44_9
20944,17,40,BAB JEBLI,40_17
23762,1,81,MELLASINE,81_1
25879,11,51,SIDI SAAD,51_11
26206,23,49,KSAR MHIRA,49_23
27939,4,39,SOMAA,39_4
28444,11,35,AIN DJELLOULA,35_11
28810,21,53,EL AKARIT,53_21
29291,12,39,EL AYOUN,39_12
30190,21,46,ZARKINE,46_21
30192,14,42,AIN M'DAKHER,42_14
30365,6,46,TINJA,46_6
31511,22,15,SIDI MAKHLOUF,15_22
32458,21,69,OUM CHIAH,69_21
34278,6,73,B.A SIDI AHMED,73_6
34340,4,18,EL MIDA,18_4
37618,12,24,EL GARAA NAAM,24_12
37697,21,3,BOUCHEMMA,3_21
40163,19,41,CHEBIKA,41_19
42736,15,36,LAMTA,36_15
48475,2,21,SIDI ALI HATTAB,21_2
48755,10,1,FETISSE,1_10
49481,2,63,CHOTRANA,63_2
49482,4,9,MENZEL SALEM,9_4
58722,4,34,BIR BOURAGBA,34_4
63394,12,18,OUM ALI,18_12
65393,21,74,EL HICHA,74_21
65693,17,19,SIDI DHAHER,19_17
71942,4,3,SAHEB EL JEBEL,3_4
80666,12,49,EL HECHIM,49_12
96343,6,75,B.A JBEL EL KBIR,75_6
98800,1,78,OUED GUERIANA,78_1
104850,24,3,TEBOURBA,3_24
111294,5,16,SEMENJA,16_5
