CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,SKHIRA,GASOIL,210221,18-Jan,17,67,8639.288,8
CARBURANT,SKHIRA,GASOIL,153900,18-Feb,17,67,328292.944,304
CARBURANT,SKHIRA,GASOIL,150810,18-Feb,13,25,356370.63,330
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154880,18-Feb,8,33,14587.166,11
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,152620,18-Jan,1,43,31929.568,22
CARBURANT,SKHIRA,GASOIL,563741,18-Feb,18,34,10799.11,10
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155350,18-Feb,20,15,26124.192,18
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154850,18-Feb,15,4,14513.44,10
CARBURANT,SKHIRA,GASOIL,155310,18-Feb,12,15,142548.252,132
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,150750,18-Feb,12,1,2902.688,2
CARBURANT,SKHIRA,GASOIL 50,153100,18-Feb,14,9,13261.06,10
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155520,18-Feb,17,38,65310.48,45
CARBURANT,SKHIRA,GASOIL,151330,18-Feb,18,34,170625.938,158
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153020,18-Jan,15,8,15964.784,11
CARBURANT,SKHIRA,GASOIL,211591,18-Jan,12,15,16171.665,15
CARBURANT,GOULETTE,GASOIL,154860,18-Feb,1,79,156587.095,145
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155160,18-Jan,22,14,14587.166,11
CARBURANT,BIZERTE CARBURANT,GASOIL,563741,18-Jan,6,1,18358.487,17
CARBURANT,GOULETTE,GASOIL,436112,18-Jan,11,13,33477.241,31
CARBURANT,GOULETTE,GASOIL,200471,18-Jan,1,92,6464.466,6
CARBURANT,SKHIRA,GASOIL 50,153420,18-Feb,11,50,25196.014,19
CARBURANT,SKHIRA,GASOIL,153860,18-Feb,11,21,47516.084,44
CARBURANT,SKHIRA,GASOIL,152220,18-Feb,19,44,118790.21,110
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155700,18-Feb,17,67,9282.742,7
CARBURANT,SKHIRA,GASOIL,155820,18-Feb,14,39,132829.053,123
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155620,18-Feb,14,8,74018.544,51
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155780,18-Feb,7,57,62407.792,43
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155660,18-Feb,7,33,33152.65,25
CARBURANT,GOULETTE,GASOIL,209461,18-Jan,11,36,8639.288,8
CARBURANT,GOULETTE,GASOIL,153410,18-Feb,14,27,11879.021,11
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153410,18-Feb,14,27,17416.128,12
CARBURANT,BIZERTE CARBURANT,GASOIL 50,437932,18-Feb,19,44,22543.802,17
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563062,18-Feb,1,13,10608.848,8
CARBURANT,BIZERTE CARBURANT,GASOIL 50,209931,18-Jan,16,35,9282.742,7
CARBURANT,GOULETTE,GASOIL,205301,18-Jan,2,93,12928.932,12
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153470,18-Jan,10,24,13261.06,10
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154000,18-Feb,4,35,23869.908,18
CARBURANT,GERANT POIT DE VENTE,GASOIL,566001,18-Jan,1,98,2159.822,2
CARBURANT,GOULETTE,GASOIL,220721,18-Jan,5,12,69018.304,64
CARBURANT,SKHIRA,GASOIL,228421,18-Jan,15,28,16198.665,15
CARBURANT,SKHIRA,GASOIL,153840,18-Feb,18,37,116630.388,108
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,244540,18-Feb,4,35,7256.72,5
CARBURANT,GOULETTE,GASOIL,205401,18-Feb,1,43,7559.377,7
CARBURANT,BIZERTE CARBURANT,PETROLE,155570,18-Feb,15,38,7928.756,11
CARBURANT,GOULETTE,GASOIL,220711,18-Jan,2,12,3235.233,3
CARBURANT,GOULETTE,GASOIL,155130,18-Feb,1,65,160906.739,149
CARBURANT,BIZERTE CARBURANT,PETROLE,154400,18-Feb,7,81,3603.98,5
CARBURANT,SKHIRA,FOL,209362,18-Feb,17,55,332450.506,650.5
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,152370,18-Feb,17,18,26124.192,18
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153770,18-Feb,4,47,39186.288,27
CARBURANT,SKHIRA,GASOIL,205761,18-Feb,17,25,16198.665,15
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154820,18-Feb,15,98,31929.568,22
CARBURANT,GOULETTE,GASOIL,560831,18-Feb,2,42,3239.733,3
CARBURANT,BIZERTE CARBURANT,PETROLE,151860,18-Feb,6,17,10091.144,14
CARBURANT,BIZERTE CARBURANT,GASOIL 50,437682,18-Jan,18,34,23869.908,18
CARBURANT,GOULETTE,GASOIL,205161,18-Feb,5,12,6479.466,6
CARBURANT,BIZERTE CARBURANT,PETROLE,154380,18-Feb,7,33,8649.552,12
CARBURANT,BIZERTE CARBURANT,GASOIL 50,151860,18-Feb,6,17,21217.696,16
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155240,18-Feb,7,7,9282.742,7
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155430,18-Feb,4,30,13261.06,10
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154670,18-Feb,6,8,10159.408,7
CARBURANT,GOULETTE,GASOIL,563741,18-Jan,1,41,22678.131,21
CARBURANT,SKHIRA,GASOIL,563741,18-Jan,17,21,25917.864,24
CARBURANT,SKHIRA,GASOIL 50,563741,18-Jan,21,1,14587.166,11
CARBURANT,SKHIRA,GASOIL 50,154340,18-Feb,17,55,30500.438,23
CARBURANT,BIZERTE CARBURANT,GASOIL,153660,18-Feb,6,15,44276.351,41
CARBURANT,BIZERTE CARBURANT,PETROLE,153570,18-Feb,10,3,2883.184,4
CARBURANT,BIZERTE CARBURANT,FOL,200561,18-Jan,8,39,7651.875,15.4
CARBURANT,GOULETTE,GASOIL,155270,18-Feb,3,16,17278.576,16
CARBURANT,ZARZIS,GASOIL,153000,18-Feb,23,95,53995.55,50
CARBURANT,SKHIRA,FOL,200021,18-Feb,21,1,28808.813,57.98
CARBURANT,GOULETTE,GASOIL,214481,18-Feb,4,21,46242.673,43
CARBURANT,SKHIRA,GASOIL,154010,18-Feb,14,21,200863.446,186
CARBURANT,SKHIRA,FOL,244590,18-Feb,20,15,23939.438,48.18
CARBURANT,BIZERTE CARBURANT,GASOIL 50,207723,18-Feb,21,1,6630.53,5
CARBURANT,GOULETTE,GASOIL,562262,18-Jan,4,11,16198.665,15
CARBURANT,ZARZIS,GASOIL,206881,18-Feb,22,61,7559.377,7
CARBURANT,SKHIRA,GASOIL 50,155420,18-Feb,12,77,17239.378,13
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153180,18-Feb,17,67,194480.096,134
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,205971,18-Feb,15,1,2902.688,2
CARBURANT,GOULETTE,GASOIL,204101,18-Jan,14,27,4319.644,4
CARBURANT,SKHIRA,GASOIL 50,154850,18-Feb,15,4,3978.318,3
CARBURANT,SKHIRA,GASOIL 50,155690,18-Feb,21,2,6630.53,5
CARBURANT,BIZERTE CARBURANT,PETROLE,153650,18-Feb,2,94,8649.552,12
CARBURANT,ZARZIS,GASOIL 50,153000,18-Mar,23,95,38457.074,29
CARBURANT,SKHIRA,GASOIL 50,155000,18-Feb,9,5,30500.438,23
CARBURANT,SKHIRA,GASOIL,211901,18-Feb,13,25,25677.864,24
CARBURANT,GOULETTE,GASOIL,670222,18-Feb,9,5,17278.576,16
