NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
GOULETTE,SSP SUPER SANS PLOMB,MORNAG,18-Mar,BEN AROUS,MORNAG,261241.92,180.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,18-Mar,SOUSSE,HERGLA,110302.144,76.0,1451.344
SKHIRA,GASOIL,SFAX TENIOUR,18-Mar,SFAX,SFAX,107991.1,100.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,SFAX TENIOUR,18-Mar,SFAX,SFAX,219152.944,151.0,1451.3439999999998
GOULETTE,SSP SUPER SANS PLOMB,AV.BOUGATFA,18-Apr,TUNIS,LE BARDO,259844.814,174.0,1493.361
SKHIRA,SSP SUPER SANS PLOMB,SOUSSE REPUB,18-Mar,SOUSSE,SOUSSE,98691.392,68.0,1451.344
BIZERTE CARBURANT,GASOIL,BOUARGOUB,18-Mar,NABEUL,BOUARGOUB,7559.377,7.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,EL HAMMA,18-Mar,GABES,EL HAMMA,59505.104,41.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,GROMBALIA,18-Mar,NABEUL,GROMBALIA,216250.256,149.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,EL FAHS,18-Mar,ZAGHOUAN,EL FAHS,7256.72,5.0,1451.344
SKHIRA,GASOIL 50,EL KANTRA,18-Feb,MEDENINE,EL KANTRA,2652.212,2.0,1326.106
SKHIRA,GASOIL,ZARZIS,18-Feb,MEDENINE,ZARZIS,2159.822,2.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,KAIROUAN,18-Mar,KAIROUAN,KAIROUAN,62407.792,43.0,1451.344
GOULETTE,GASOIL,EL BATEN,18-Mar,KAIROUAN,EL BATEN,60475.016,56.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,DOUZ*,18-Mar,KEBILI,DOUZ,29026.88,20.0,1451.344
BIZERTE CARBURANT,GASOIL 50,EL MOUROUJ,18-Apr,BEN AROUS,BIR EL KASSAA,104146.904,76.0,1370.354
BIZERTE CARBURANT,GASOIL 50,CITE EL MOEZ  SFAX,18-Jan,SFAX,SFAX,3978.318,3.0,1326.106
GOULETTE,GASOIL,BEN AROUS,18-Mar,BEN AROUS,BEN AROUS,62634.838,58.0,1079.911
BIZERTE CARBURANT,GASOIL 50,M. TEMIME,18-Apr,NABEUL,MENZEL TEMIME,69888.054,51.0,1370.354
GOULETTE,SSP SUPER SANS PLOMB,EL KSOUR,18-Apr,LE KEF,EL KSOUR,10453.527,7.0,1493.361
SKHIRA,GASOIL,FERIANA,18-Mar,KASSERINE,FERIANA,3239.733,3.0,1079.911
SKHIRA,GASOIL 50,KAIROUAN,18-Mar,KAIROUAN,KAIROUAN,26522.12,20.0,1326.106
GOULETTE,GASOIL,M. TEMIME,18-Apr,NABEUL,MENZEL TEMIME,346240.972,308.0,1124.159
SKHIRA,SSP SUPER SANS PLOMB,M.DAR BEL OUER,18-Mar,SOUSSE,MENZEL DAR BEL OUAER,18867.472,13.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,IDENE,18-Mar,BEJA,I D E N,8708.064,6.0,1451.344
SKHIRA,GASOIL,BIR MCHERGA,18-Apr,ZAGHOUAN,BIR MCHERGUA,61828.745,55.0,1124.159
SKHIRA,GASOIL,SIDI BOUZID,18-Apr,SIDI BOUZID,SIDI BOUZID,296777.976,264.0,1124.159
SKHIRA,SSP SUPER SANS PLOMB,EL JEM,18-Apr,MAHDIA,EL JEM,158296.266,106.0,1493.361
SKHIRA,SSP SUPER SANS PLOMB,MENZEL M'HIRI,18-Apr,KAIROUAN,MENZEL M'HIRI,14933.61,10.0,1493.361
GOULETTE,GASOIL,GRIAAT S. PK29,18-Apr,BEJA,MEDJEZ EL BAB,80939.448,72.0,1124.159
GOULETTE,GASOIL,GAAFOUR,18-Apr,SILIANA,GAAFOUR,107919.264,96.0,1124.159
SKHIRA,SSP SUPER SANS PLOMB,MSAKEN,18-Apr,SOUSSE,M'SAKEN,100055.187,67.0,1493.361
SKHIRA,SSP SUPER SANS PLOMB,M. CHAKER,18-Apr,SFAX,MENZEL CHAKER,29867.22,20.0,1493.361
SKHIRA,GASOIL,SFAX GP1,18-Apr,SFAX,SFAX,240570.026,214.0,1124.159
SKHIRA,GASOIL,EL BATEN,18-Apr,KAIROUAN,EL BATEN,119160.854,106.0,1124.159
SKHIRA,GASOIL 50,OULED CHAMEKH,18-Mar,MAHDIA,OULED CHAMEKH,23869.908,18.0,1326.106
GOULETTE,SSP SUPER SANS PLOMB,SOLIMAN,18-Apr,NABEUL,SOLIMAN,20907.054,14.0,1493.361
GOULETTE,SSP SUPER SANS PLOMB,CITE OLYMPIQUE,18-Apr,TUNIS,CITE ELKHADRA,973671.372,652.0,1493.361
BIZERTE CARBURANT,GASOIL,KSAR HELAL,18-Mar,MONASTIR,KSAR HELLAL,5399.555,5.0,1079.911
BIZERTE CARBURANT,GASOIL,GHAR EL MELH,18-Apr,BIZERTE,GHAR EL MELEH,31476.452,28.0,1124.159
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SEJNENE,18-Apr,BIZERTE,SEJNENE,8960.166,6.0,1493.361
GOULETTE,GASOIL,BEN AROUS MC 34,18-Apr,BEN AROUS,BEN AROUS,234949.231,209.0,1124.159
GOULETTE,GASOIL,FOUCHANA,18-May,BEN AROUS,FOUCHANA,274294.796,244.0,1124.159
GOULETTE,GASOIL,C.B.Ammar,18-May,ARIANA,CEBALET B AMMAR,242818.344,216.0,1124.159
GOULETTE,SSP SUPER SANS PLOMB,S.A. BOUKHTIOUA,18-May,ARIANA,RAOUED,274778.424,184.0,1493.361
GOULETTE,SSP SUPER SANS PLOMB,BOUARGOUB,19-Apr,NABEUL,BOUARGOUB,140350.56,84.0,1670.84
BIZERTE CARBURANT,GASOIL 50,EL MOUROUJ 3,18-Nov,BEN AROUS,BIR EL KASSAA,87899.557,59.0,1489.823
BIZERTE CARBURANT,GASOIL 50,SIDI ALOUENE,18-Apr,MAHDIA,SIDI ALOUANE,8222.124,6.0,1370.354
GOULETTE,SSP SUPER SANS PLOMB,S. LAHED .S,19-Apr,SOUSSE,SOUSSE,287384.48,172.0,1670.84
BIZERTE CARBURANT,GASOIL 50,ZAGHOUAN,18-Apr,ZAGHOUAN,ZAGHOUAN,50703.098,37.0,1370.354
BIZERTE CARBURANT,GASOIL,BIR MCHERGA,18-Apr,ZAGHOUAN,BIR MCHERGUA,11241.59,10.0,1124.159
BIZERTE CARBURANT,GASOIL 50,BIR MCHERGA,18-Apr,ZAGHOUAN,BIR MCHERGUA,49332.744,36.0,1370.354
BIZERTE CARBURANT,GASOIL 50,FOUCHANA,18-Apr,BEN AROUS,FOUCHANA,65776.992,48.0,1370.354
SKHIRA,SSP SUPER SANS PLOMB,BEJA,18-Mar,BEJA,BEJA,8708.064,6.0,1451.344
BIZERTE CARBURANT,GASOIL 50,AV.BOUGATFA,18-Apr,TUNIS,LE BARDO,58925.222,43.0,1370.354
GOULETTE,GASOIL,ENTREE SUD,18-May,TUNIS,KABARIA,245066.662,218.0,1124.159
ZARZIS,GASOIL 50,EL HAMMA,18-Mar,GABES,EL HAMMA,7956.636,6.0,1326.106
GOULETTE,GASOIL 50,BORJ EL AMRI,19-Apr,MANOUBA,BORJ EL AMRI,65404.794,42.0,1557.257
GOULETTE,SSP SUPER SANS PLOMB,EL AOUINA,18-May,TUNIS,EL AOUINA,815375.106,546.0,1493.361
GOULETTE,SSP SUPER SANS PLOMB,BEN AROUS,19-Apr,BEN AROUS,BEN AROUS,198829.96,119.0,1670.84
SKHIRA,GASOIL,KONDAR,18-Apr,SOUSSE,KONDAR,248439.139,221.0,1124.159
GOULETTE,SSP SUPER SANS PLOMB,SIDI BOUSAID,18-Apr,TUNIS,SIDI BOUSAID,307632.366,206.0,1493.361
SKHIRA,GASOIL,EL HAMMA,18-Apr,GABES,EL HAMMA,170872.168,152.0,1124.159
SKHIRA,GASOIL,MARETH,18-Apr,GABES,MARETH,194479.507,173.0,1124.159
BIZERTE CARBURANT,GASOIL 50,TOUZA,18-Apr,MONASTIR,TOUZA,5481.416,4.0,1370.354
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,EL KSOUR,18-Apr,LE KEF,EL KSOUR,2986.722,2.0,1493.361
GOULETTE,GASOIL,GROMBALIA,18-Apr,NABEUL,GROMBALIA,254059.934,226.0,1124.159
SKHIRA,SSP SUPER SANS PLOMB,OUEDHREF,18-Apr,GABES,OUEDHREF,23893.776,16.0,1493.361
SKHIRA,GASOIL 50,EZZOUHOUR,18-Apr,TUNIS,EZZOUHOUR,6851.77,5.0,1370.354
ZARZIS,GASOIL 50,REJICHE,18-Mar,MAHDIA,REJICHE,7956.636,6.0,1326.106
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,METLAOUI,18-Nov,GAFSA,METLAOUI,4820.421,3.0,1606.807
SKHIRA,SSP SUPER SANS PLOMB,MOULARES,18-Apr,GAFSA,MOULARES,74668.05,50.0,1493.361
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ 3,18-Apr,BEN AROUS,EL MOUROUJ,141869.295,95.0,1493.361
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ,18-Apr,BEN AROUS,BIR EL KASSAA,350939.835,235.0,1493.361
SKHIRA,GASOIL,SOUSSE REPUB,18-Apr,SOUSSE,SOUSSE,43842.201,39.0,1124.159
BIZERTE CARBURANT,GASOIL,SIDI SMAIL,18-Apr,BEJA,SIDI SMAIL,26979.816,24.0,1124.159
SKHIRA,GASOIL 50,MENZEL M'HIRI,18-Apr,KAIROUAN,MENZEL M'HIRI,2740.708,2.0,1370.354
SKHIRA,GASOIL 50,OULED CHAMEKH,18-Apr,MAHDIA,OULED CHAMEKH,13703.54,10.0,1370.354
GOULETTE,GASOIL,LE SERS,18-Apr,LE KEF,LE SERS,42718.042,38.0,1124.159
SKHIRA,SSP SUPER SANS PLOMB,DEGACHE,18-Apr,TOZEUR,DEGACHE,20907.054,14.0,1493.361
SKHIRA,SSP SUPER SANS PLOMB,BEMBLA,18-May,MONASTIR,BEMBLA,55254.357,37.0,1493.361
GOULETTE,GASOIL,KSAR HELAL,18-Apr,MONASTIR,KSAR HELLAL,11241.59,10.0,1124.159
