NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
1,3,154920,18-Jun,15,28,9592.478,7,1370.354
2,1,155140,18-Jun,4,36,126710.602,110,1151.914564
3,2,151470,18-Aug,22,47,31127.72,20,1556.386
3,2,155050,18-Aug,23,37,6225.544,4,1556.386
3,2,153170,18-Aug,22,3,9338.316,6,1556.386
2,2,155760,18-Sep,3,97,359420.558,224,1604.556063
3,3,155380,18-Sep,2,12,66723.453,45,1482.7434
1,2,155110,18-Aug,5,19,21789.404,14,1556.386
2,2,154880,18-Jun,8,33,118372.908,78,1517.601385
3,3,153260,18-Sep,14,27,87634.072,59,1485.323254
2,1,154500,18-Jun,1,43,92861.418,78,1190.531
2,1,155020,18-Jun,1,58,243627.303,213,1143.790155
2,2,154400,18-Jun,7,81,45242.005,30,1508.066833
1,3,155640,18-Sep,15,16,51878.32,35,1482.237714
3,3,152620,18-Sep,1,43,58103.097,39,1489.823
2,2,155180,18-Sep,8,26,9640.842,6,1606.807
1,3,155610,18-Jun,20,62,36093.808,26,1388.223385
2,2,153770,18-Jun,4,47,68272.67,45,1517.170444
4,2,153430,18-Sep,23,56,9640.842,6,1606.807
3,1,154670,18-Sep,6,8,37574.346,30,1252.4782
1,2,154560,18-Sep,13,43,73711.438,46,1602.422565
4,3,153000,18-Sep,23,95,58103.097,39,1489.823
2,1,153690,18-Sep,5,13,292389.63,234,1249.528333
1,2,154640,18-Sep,19,44,24102.105,15,1606.807
1,1,153410,18-Sep,14,27,148314.554,118,1256.903
3,3,151860,18-Sep,6,17,41715.044,28,1489.823
1,1,152170,18-Sep,4,6,21367.351,17,1256.903
4,2,155050,18-Sep,23,37,51216.14,32,1600.504375
2,1,154110,18-Sep,4,2,145800.748,116,1256.903
1,1,155350,18-Sep,20,15,17596.642,14,1256.903
1,3,154280,18-Sep,17,67,56613.274,38,1489.823
4,1,150460,18-Jun,23,37,20239.027,17,1190.531
1,2,153950,18-Jun,17,67,78348.047,52,1506.693212
2,2,154860,18-Jun,1,79,98052.318,63,1556.386
2,1,154690,18-Jun,24,2,131800.421,115,1146.090617
1,3,152400,18-Jun,13,29,9791.594,7,1398.799143
1,2,154920,18-Jun,15,28,57586.282,37,1556.386
3,3,153600,18-Aug,21,37,2873.452,2,1436.726
1,1,154100,18-Sep,11,28,72900.374,58,1256.903
2,2,152930,18-Jun,1,40,308490.169,204,1512.206711
1,3,155630,18-Jun,14,28,20114.164,14,1436.726
1,3,155640,18-Jun,15,16,25861.068,18,1436.726
3,3,155740,18-Jun,3,52,55610.624,40,1390.2656
2,2,151350,18-Sep,1,43,218525.752,136,1606.807
3,1,153690,18-Sep,5,13,18853.545,15,1256.903
1,1,154110,18-Sep,4,2,15082.836,12,1256.903
1,2,154110,18-Sep,4,2,9640.842,6,1606.807
2,1,152860,18-Jun,14,25,31746.105,27,1175.781667
3,3,153780,18-Jun,5,25,35975.436,26,1383.670615
1,3,155280,18-Jun,20,33,15206.638,11,1382.421636
2,2,155270,18-Jun,3,16,123716.102,82,1508.732951
3,3,154730,18-Jun,14,14,61158.412,44,1389.963909
3,2,155770,18-Oct,6,40,176748.77,110,1606.807
3,3,152440,18-Jun,14,6,19450.444,14,1389.317429
2,2,152620,18-Sep,1,43,167107.928,104,1606.807
3,2,153570,18-Sep,10,3,14461.263,9,1606.807
2,4,152930,18-Sep,1,40,6998.656,4,1749.664
3,3,154730,18-Oct,14,14,58103.097,39,1489.823
3,2,152170,18-Oct,4,6,9640.842,6,1606.807
3,2,153130,18-Sep,10,31,20888.491,13,1606.807
2,2,150720,18-Oct,2,12,331002.242,206,1606.807
3,3,152590,18-Sep,5,37,53368.143,36,1482.448417
4,1,153000,18-Sep,23,95,52789.926,42,1256.903
1,3,155310,18-Oct,12,15,56613.274,38,1489.823
3,2,154760,18-Sep,4,24,11247.649,7,1606.807
1,3,155730,18-Sep,13,51,4469.469,3,1489.823
1,1,154270,18-Oct,17,30,256408.212,204,1256.903
2,1,153020,18-Sep,15,8,60331.344,48,1256.903
1,3,155360,18-Oct,16,38,35755.752,24,1489.823
1,1,153210,18-Oct,16,44,172195.711,137,1256.903
2,1,152800,18-Oct,14,13,227499.443,181,1256.903
2,2,152800,18-Oct,14,13,57845.052,36,1606.807
3,2,155240,18-Oct,7,7,33742.947,21,1606.807
2,1,154260,18-Oct,1,47,307941.235,245,1256.903
2,2,152620,18-Oct,1,43,205671.296,128,1606.807
2,2,155830,18-Oct,3,97,64272.28,40,1606.807
1,1,153880,18-Oct,21,1,22624.254,18,1256.903
2,2,153130,18-Oct,10,31,73913.122,46,1606.807
1,3,153210,18-Oct,16,44,19367.699,13,1489.823
